,1,2,3,4,5,6,7,8,9,10,11,12
209228,"48,059","53,139","53,519","57,958","63,45","68,991","76,67","86,569","93,711","96,398","96,685","95,957"
523069,"121,159","129,96","137,357","141,732","158,317","174,377","193,567","216,747","234,476","240,948","241,7","240,18"
1046137,"244,677","265,683","266,869","286,581","319,706","347,822","389,33","430,755","468,648","481,715","483,372","481,844"
1569205,"366,255","392,444","408,266","436,791","474,177","522,535","583,806","648,672","704,95","726,087","725,902","720,931"
2092273,"488,424","527,016","537,833","579,798","637,913","699,039","773,934","866,2","938,941","967,34","966,561","962,396"
