,1,2,3,4,5,6,7,8,9,10,11,12
209228,"49,063","27,476","18,947","16,933","14,769","13,323","12,311","11,911","11,472","10,297","9,274","8,824"
523069,"124,089","66,659","49,651","40,936","37,575","33,518","31,517","29,228","28,54","25,671","23,185","22,029"
1046137,"250,251","136,617","96,015","83,436","73,923","68,48","62,988","58,889","57,055","51,556","46,352","45,003"
1569205,"374,982","203,673","149,604","127,106","110,036","101,473","94,537","88,087","85,982","77,004","69,52","66,079"
2092273,"500,439","274,009","194,499","169,517","147,828","135,598","125,733","117,951","114,275","102,771","92,646","88,111"
